1,Aconchi
2,Agua Prieta
3,Alamos
4,Altar
5,Arivechi
6,Arizpe
7,Atil
8,Bacadéhuachi
9,Bacanora
10,Bacerac
11,Bacoachi
12,Bácum
13,Banámichi
14,Baviácora
15,Bavispe
16,Benjamín Hill
17,Caborca
18,Cajeme
19,Cananea
20,Carbó
21,La Colorada
22,Cucurpe
23,Cumpas
24,Divisaderos
25,Empalme
26,Etchojoa
27,Fronteras
28,Granados
29,Guaymas
30,Hermosillo
31,Huachinera
32,Huásabas
33,Huatabampo
34,Huépac
35,Imuris
36,Magdalena
37,Mazatán
38,Moctezuma
39,Naco
40,Nácori Chico
41,Nacozari de García
42,Navojoa
43,Nogales
44,Onavas
45,Opodepe
46,Oquitoa
47,Pitiquito
48,Puerto Peñasco
49,Quiriego
50,Rayón
51,Rosario
52,Sahuaripa
53,San Felipe de Jesús
54,San Javier
55,San Luis Río Colorado
56,San Miguel de Horcasitas
57,San Pedro de la Cueva
58,Santa Ana
59,Santa Cruz
60,Sáric
61,Soyopa
62,Suaqui Grande
63,Tepache
64,Trincheras
65,Tubutama
66,Ures
67,Villa Hidalgo
68,Villa Pesqueira
69,Yécora
70,General Plutarco Elías Calles
71,Benito Juárez
72,San Ignacio Río Muerto
